id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,liveness,popularity,era,explicit,loudness
17,Campfire Fable,The Hollow Oaks,folk,nostalgic,0.38,104,0.62,0.55,0.83,0.15,0.11,0.52,61,2010s,0,-13.8
18,Neon Pulse,Circuit Drift,electronic,euphoric,0.92,140,0.88,0.95,0.03,0.55,0.04,0.08,82,2020s,0,-4.7
19,Starlight Seoul,Nova Nine,k-pop,euphoric,0.86,122,0.83,0.88,0.14,0.06,0.09,0.20,90,2020s,0,-5.3
20,Midnight Han River,Luna Byte,k-pop,moody,0.72,108,0.58,0.79,0.18,0.05,0.07,0.15,84,2020s,0,-6.4
21,Mirror Stage,Aster Crew,k-pop,confident,0.89,128,0.74,0.91,0.11,0.03,0.12,0.23,88,2020s,0,-4.9
22,Summer in Busan,Peach Signal,k-pop,happy,0.81,116,0.87,0.86,0.22,0.02,0.08,0.19,86,2020s,0,-5.8
23,Neon Alley Break,River Unit,k-pop,intense,0.93,132,0.62,0.90,0.09,0.01,0.14,0.18,85,2020s,0,-4.2
24,Lagos Dawn,Solar Steps,afrobeats,happy,0.84,112,0.82,0.89,0.17,0.01,0.10,0.16,83,2020s,0,-5.6
25,Golden Palm Groove,Wave Kulture,afrobeats,euphoric,0.88,118,0.85,0.92,0.12,0.00,0.11,0.13,81,2020s,0,-5.1
26,Shaku Bounce,Nova Kairo,afrobeats,confident,0.86,110,0.78,0.90,0.15,0.01,0.13,0.17,79,2020s,1,-4.8
27,Barrio Heat,La Corriente,reggaeton,intense,0.91,98,0.74,0.94,0.10,0.00,0.15,0.21,87,2020s,1,-4.0
28,Luna Caliente,Mar y Sol,latin pop,romantic,0.77,104,0.80,0.87,0.20,0.01,0.09,0.18,82,2020s,0,-5.9
29,Ritmo de Cristal,Azul Vista,latin pop,happy,0.79,120,0.86,0.88,0.16,0.02,0.08,0.22,80,2020s,0,-5.5
30,Night Warehouse,Concrete Halo,house,euphoric,0.90,126,0.71,0.89,0.06,0.62,0.05,0.14,76,2020s,0,-5.0
31,Velvet Strobe,Arc Motel,house,moody,0.82,124,0.63,0.84,0.08,0.58,0.04,0.12,74,2020s,0,-6.1
32,Factory Pulse,Iron Syntax,techno,intense,0.95,132,0.47,0.78,0.04,0.80,0.03,0.10,72,2020s,0,-4.4
33,Cold Circuit,Mono Static,techno,focused,0.87,128,0.44,0.74,0.05,0.83,0.02,0.09,69,2020s,0,-5.2
34,Purple Velvet Tide,The Satin Keys,r&b,romantic,0.59,86,0.76,0.72,0.35,0.04,0.12,0.20,78,2010s,0,-7.8
35,Moonlit Confession,Ember Lane,r&b,sad,0.48,74,0.39,0.62,0.48,0.03,0.11,0.24,71,2010s,0,-9.6
36,Backseat Soul,Harbor Saints,soul,nostalgic,0.54,92,0.69,0.68,0.57,0.02,0.10,0.27,73,2000s,0,-8.7
37,Vinyl Heartbeat,Juniper Miles,soul,happy,0.66,102,0.79,0.75,0.41,0.01,0.09,0.26,75,2010s,0,-7.1
38,Chrome Funk,The Midnight Horns,funk,confident,0.83,114,0.77,0.86,0.14,0.07,0.13,0.22,77,1990s,0,-6.0
39,Satellite Groove,Groove Atlas,funk,euphoric,0.87,118,0.81,0.88,0.12,0.09,0.10,0.20,74,2000s,0,-5.7
40,Concrete Verses,North Block,drill,intense,0.92,142,0.35,0.70,0.05,0.00,0.30,0.19,80,2020s,1,-3.8
41,Steel Rain Freestyle,Zero Mile,drill,angry,0.94,146,0.28,0.67,0.04,0.00,0.34,0.16,78,2020s,1,-3.5
42,Polaroid Summer,Daydream Motel,indie pop,happy,0.73,115,0.84,0.81,0.29,0.03,0.06,0.18,76,2020s,0,-6.2
43,Northern Lights Club,Signal Hearts,synthwave,euphoric,0.85,122,0.74,0.82,0.19,0.64,0.05,0.13,72,2010s,0,-6.4
44,Paper Planes and Rain,Amber Pines,folk,melancholic,0.36,88,0.42,0.49,0.86,0.11,0.07,0.41,63,2010s,0,-12.9
45,Thunder Avenue,Riot Atlas,punk,angry,0.96,176,0.41,0.61,0.06,0.02,0.08,0.24,70,2000s,1,-3.1
46,Static Hearts,Rust Parade,punk,intense,0.93,168,0.45,0.65,0.07,0.01,0.07,0.26,68,2010s,0,-3.6
47,Glass Mountain,North Harbour,rock,moody,0.78,128,0.52,0.68,0.15,0.04,0.06,0.17,73,2010s,0,-5.9
48,Afterglow Boulevard,Skyline Youth,pop,happy,0.80,120,0.86,0.84,0.21,0.02,0.07,0.16,79,2020s,0,-5.4
